uuid;name;steps;meal_type;origin;prep_time;servings;description;difficulty;photo_url;
32010bd86b84dee27a6c;Cheddar scones;Heat oven to 220c/fan 200c/gas 7. Place the flour in a large bowl, then rub in the butter. Stir in the oats and cheese, then the milk – if it feels like it might be dry, add a touch more milk, then bring together to make a soft dough.Lightly dust the surface with a little flour. roll out the dough no thinner than 2cm. Using a 4cm plain cutter, firmly stamp out the rounds – try not to twist the cutter as this makes the scones rise unevenly. re-roll the trimmings and stamp out more.Transfer to a non-stick baking sheet, dust with a little more flour or grated cheese, then bake for 12-15 mins until well risen and golden. Cool on a wire rack before serving on their own or topped with mashed avocado, or soft cheese, and ham, cucumber or cress.;starter;English;25;1;Fantastic straight from the oven or served the next day, split and toasted through;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--559498_11.jpg?itok=p9uyAHtw";
598fccc8ab06e9a83389;Courgette, potato & cheddar soup;Put the potatoes in a large pan with just enough water to cover them and crumble in the stock cubes. Bring to the boil, then cover and cook for 5 mins. Add the courgettes, put the lid back on and cook for 5 mins more. Throw in the spring onions, cover and cook for a final 5 mins.Take off the heat, then stir in the cheese and season with the nutmeg, salt and pepper. Whizz to a thick soup, adding more hot water until you get the consistency you like. Serve scattered with extra grated cheddar, spring onions and nutmeg or pepper. Or cool and freeze in freezer bags or containers with good lids for up to 3 months.;starter;English;30;8;This freezable soup is a delicious way to use up a glut of courgettes;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--740509_11.jpg?itok=Mjl0WynK";
4a98aa675da5bb5e445a;Sticky onion & cheddar quiche;To make the pastry, tip the flour and butter into a bowl, then rub together with your fingertips until completely mixed and crumbly. Add 8 tbsp cold water, then bring everything together with your hands until just combined. Roll into a ball and use straight away or chill for up to 2 days. The pastry can also be frozen for up to a month.Roll out the pastry on a lightly floured surface to a round about 5cm larger than a 25cm tin. Use your rolling pin to lift it up, then drape over the tart case so there is an overhang of pastry on the sides. Using a small ball of pastry scraps, push the pastry into the corners of the tin (see picture, above left). Chill in the fridge or freezer for 20 mins.Heat oven to 200C/fan 180C/gas 6. While the pastry is chilling, heat the butter in a pan and cook the onions for 20 mins, stirring occasionally, until they become sticky and golden. Remove from the heat.Lightly prick the base of the tart with a fork, line the tart case with a large circle of greaseproof paper or foil, then fill with baking beans. Blind-bake the tart for 20 mins, remove the paper and beans, then continue to cook for 5-10 mins until biscuit brown.Meanwhile, beat the eggs in a bowl, then gradually add the cream. Stir in the onions and half the cheese, then season with salt and pepper. Carefully tip the filling into the case, sprinkle with the rest of the cheese, then bake for 20-25 mins until set and golden. Leave to cool in the case, trim the edges of the pastry, then remove and serve in slices.;main;English;80;8;A crisp pastry case and a just-set creamy filling, quiche is a good solution to any meal dilemma from dinner parties, suppers, picnics and even afternoon tea;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--9872_11.jpg?itok=dkjoAlvX";
3b4a5a7efce616b9c720;Cheddar & sweetcorn scones;Bring a pan of salted water to the boil. Hold a corn cob at a right angle to the chopping board, then run a sharp knife down the length of the cob, as close to the core as you can get, slicing away the rows of corn. Boil the kernels for 4 mins or until just tender, then drain well.Heat oven to 220C/200C fan/gas 7. Mix the flour, baking powder, mustard, cayenne, 1 tsp salt and 1 tsp thyme leaves in a large bowl, then rub in the butter until the mix looks like fine crumbs. Tip in most of the cheese and all of the corn. Mix the milk with the lemon juice, then stir into the bowl to make a slightly sticky dough. Don’t over-work the dough.Tip the dough onto the floured work surface, knead 2-3 times to smooth a little, then divide into 10 balls. Shape each roughly with your hands and put onto a floured baking sheet. Brush each with a little milk, then scatter with a little cheese, cayenne and a few thyme leaves. Bake for 10-12 mins or until the scones are risen, golden and sound hollow when tapped on the bottom. Cool on a rack.;starter;English;30;1;Savoury scones make a great meal with a bowl of soup, or a tasty addition to afternoon tea;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--376547_11.jpg?itok=Vngis9h1";
202ae5a14e53772af2a6;Chunky cheddar & celeriac soup;In a large pan, melt the tbsp of butter. Add the onions and cook for 5 mins until softened, but not coloured. Add the potato, celeriac, the litre of stock, 4 sage leaves and 2 strips of lemon peel. Bring to the boil and simmer gently for about 30 mins, until the celeriac is tender and the potato is collapsing. Remove and discard the lemon zest and sage leaves. Stir so the potato thickens the soup a little. (At this point you can cool and keep covered in the fridge for up to two days or freeze for up to 3 months.)When you’re ready to eat, reheat the soup to just simmering. Stir in the 200g of cheese. Serve with crisp sage leaves for a special touch.;starter;English;55;4;A meal in a bowl - enjoy it with a gutsy watercress salad and fresh brown bread to make the perfect lunch;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--651459_11.jpg?itok=aNvbd0IU";
5e08887a47fcf4a5b68f;Cheddar & sage scones;Heat oven to 220C/200C fan/gas 7. Mix the flour, mustard powder, ½ tsp salt and a grinding of black pepper in a large bowl. Rub in the butter until the mixture resembles fine crumbs. Stir in half of the cheese and the sage. Mix together the egg and buttermilk in a separate bowl.Make a well in the centre of the flour mix and pour in all but ½ tbsp of the buttermilk mix. Working quickly, stir until the mixture forms a soft, spongy dough. Tip onto a lightly floured surface and knead briefly until smooth. Roll out to a 3cm-thick square. Cut into quarters, then half each quarter diagonally, so you have 8 triangles. Place the scones on a floured baking tray, brush with the remaining buttermilk, sprinkle over the remaining cheese and top each with a sage leaf. Bake for 12-14 mins until they are well risen, golden and sound hollow when tapped on the bottom. Eat while still warm, spread with butter.;starter;English;25;8;Make sure you use a punchy mature cheese to shine through these savoury scones made with mustard and buttermilk;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/scones_0.jpg?itok=CqmNKKn1";
0412d199f71146f42257;Crusty cheddar pies;Bring a large pan of salted water to the boil. Put the leeks, broccoli and celery in a large steamer. Add the potatoes to the water and cook for 20 mins, with the vegetables steaming on top, until all are tender. Drain the potatoes, then mash with plenty of seasoning, 25g of the butter and all the yogurt.While the veg cooks, pour the milk into a pan, add the flour, both mustards and remaining butter, and cook over a medium heat, whisking all the time, until smooth and thickened. Stir in half the cheese and season. Remove from heat.Divide the steamed veg and peas between 8 individual pie dishes. Pour over the sauce and top with the mash, then sprinkle over the remaining cheese.Pack into freezer bags and use within 3 months. To serve, unwrap and put the dishes on a baking tray in the cold oven, then set to 200C/180C fan/ gas 6. Bake for 50-55 mins until bubbling and hot all the way through.;starter;English;105;8;This recipe has been designed to be made ahead and frozen - a family-friendly batch pie, with cheesy mashed potato atop hidden broccoli, leeks and celery;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1227451_8.jpg?itok=3g3cujV3";
edb04312c7426eb32fe9;Courgette & cheddar soda bread;Heat oven to 200C/180C fan/gas 6 and dust a baking sheet with a little flour. Place a box grater on top of a clean tea towel and coarsely grate the courgettes. Lift the corners of the tea towel and, holding it over the sink, twist to compact the courgettes and squeeze out as much liquid as you can.Put the flour, oats, bicarb and 1 tsp fine salt in a large bowl. Add most of the cheddar (save a little for the top), the thyme and the courgette. Mix the buttermilk and honey, then pour into the flour mixture. Stir with a wooden spoon until the dough starts to clump together, then tip onto a work surface and knead briefly to bring all the loose bits together – try not to overwork the dough or the bread will be heavy.Shape into a round loaf and place on the baking sheet. Brush with egg and sprinkle with the remaining cheese. Use a sharp knife to score a deep cross on top of the loaf, then bake for 40 mins until deep golden brown. Best served warm, but leftovers will keep for 1-2 days.;starter;English;65;1;This simple loaf is easy to make but big on flavour and texture, with mature cheese, grated courgettes, oats and thyme;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/courgette-cheddar-soda-bread.jpg?itok=DaXwhlvN";
91696ebacc6c4ddfd3b4;Double-baked cheddar soufflés;Heat oven to 180C/fan 160C/gas 4. Put milk, onion, nutmeg and bay leaves into a pan. Bring to the boil, then set side to infuse for 30 mins. Butter 8 x 150ml ramekins.Melt the butter in a second saucepan. Stir in the flour and cook gently for 1 min, stirring. Take off the heat and gradually whisk in the milk until smooth. Discard onion and bay leaf. Return to the hob and stir until the sauce boils and thickens.Off the heat, stir in the mustard, egg yolks and three-quarters of the cheese, then season. Scrape mixture into a large mixing bowl. In another big bowl, whisk the egg whites until stiff. Boil a full kettle. Carefully fold the whites into the cheese mix and fill ramekins twothirds full. Transfer to a roasting tin, then pour the boiling water into the tin until it reaches halfway up the ramekins. Bake for 15-20 mins or until risen, just set and still a little wobbly. Take out of the tin and leave to cool.To serve, heat oven to 220C/fan 200C/gas 7(or leave it at 190C/fan 170C/gas 5 if you are cooking the lamb). Loosen soufflés around the edges with a knife, then turn out, upside down, into a shallow ovenproof dish. Sprinkle with rest of cheese, then spoon 1 tbsp cream over each soufflé. Bake for 10-12 mins till puffed and golden on the top (or 12-15 mins at the lower temperature). Serve at once with Crunchy celery & apple salad, below.;starter;English;85;8;You can cook these several hours in advance, then re-bake just before serving;More effort;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--5367_11.jpg?itok=KSGH8jrf";
0f6117099c5fb8356d62;Jalapeño & cheddar corn rolls;Heat oven to 180C/160C fan/gas 4 and brush the holes of a 12-hole muffin tin with melted butter. Dust generously with polenta and shake out the excess. Tip 175g of the sweetcorn into a food processor with 1 tsp salt and the remaining ingredients, except the jalapeños. Blend until smooth, then remove the blade and stir through the remaining sweetcorn and jalapeños.Divide the batter between the holes and bake for 25-30 mins until risen and golden. Insert a skewer into the centre of a roll – it should come out with a few moist crumbs, but the mixture should not be wet. Return to the oven for 5 mins more if necessary, then test again.Cool for 5 mins, then transfer the rolls to a wire rack to cool. Will keep, wrapped in cling film, for up to 3 days, or freeze for up to 2 months – warm in a low oven before serving.;starter;English;50;1;These bread rolls are full of strong cheddar and pop with jalapeños. They make a tasty veggie side and you can make a batch to freeze for later;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2016/07/jalapeno-cheddar-corn-rolls.jpg?itok=i-9omLVj";
ffc9de576eb8ce1deb32;Courgette, potato & cheddar bread;Boil the potatoes in salted water until just tender, drain and allow to cool a little. Put the flour and yeast into a large bowl. When the potatoes are cool enough to handle, coarsely grate half straight into the mix, tossing occasionally to coat in the flour. This will stop the potatoes sticking in clumps.Grate in half the courgette, add half of the cheese and strip in half of the thyme leaves. Add 1 tbsp olive oil mixed with 175-200ml hand-warm water. Bring the dough together and knead for a couple of mins. Put into a lightly oiled bowl, cover and leave to rise in a warm place until doubled in size.Heat oven to 200C/180C fan/gas 6. Grease a 20cm x 30cm tin. Push the bread dough into the tin firmly, pushing out air. Finely slice the remaining potatoes and courgette. Scatter over the top along with the remaining thyme and poke in roughly with your fingers so the slices stick out a little. Cover with oiled cling film and leave to rise again for about 45 mins. Drizzle with the rest of the olive oil, scatter with the remaining cheese, then cook for 50 mins-1 hr, until well risen and golden. Leave to cool, then serve, cut into squares.;cheddar;English;95;6;Make the most of your garden glut with this simple idea to transform seasonal veg into something everyone will love;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--656468_11.jpg?itok=3itOmvFZ";
dde21de18e237baabd12;Potted cheddar with ale & mustard;Put the cheese, 100g butter and ale in a food processor. Blitz until creamy and well combined. Stir in the mustard, then pack into a large sterilised jar, ramekin or ceramic pot, making sure to eliminate any air pockets.Melt the remaining butter and leave to sit for a minute to let the fat separate from the milk solids (these will form a milky puddle at the bottom). Pour the clear fat over the cheese, leaving the milk solids in the pan. Place a thyme sprig on top, if using, and chill for a few hours. The sealed cheese will keep for a couple of months in the fridge. Once you’ve cracked the buttery crust, use up within a week.;main;English;15;6;Make this potted cheddar as a Christmas gift, or serve with drinks, crackers and crusty bread after dinner. Ideal for using up cheeseboard leftovers;Easy;"www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2018/11/potted-cheddar.jpg?itok=XUNA28u_";
