uuid;quantity;unit;name;category
666995576ae7c8be50c7;800;g;oat bread;Bakery
b1997b662d682300b081;2;tbsp;gelatin;Bakery
a5ad2b18ce6a8cf1137f;18;tbsp;biscuits;Bakery
b3802daafb8b2121e09b;200;g;biscuits;Bakery
f17672605ba58e226ff9;1;tbsp;baking powder;Bakery
cb369a7d5b20b4bfb427;1;tbsp;baking powder;Bakery
755985659b42a5effc69;1;tbsp;baking powder;Bakery
5abd684ef293eb899341;1;tbsp;baking powder;Bakery
3b4a5a7efce616b9c720;1;tsp;baking powder;Bakery
0f6117099c5fb8356d62;2;tsp;baking powder;Bakery
edb04312c7426eb32fe9;1;tsp;baking powder;Bakery
0f6117099c5fb8356d62;1;tsp;baking powder;Bakery
1494bd4f9127936bd043;200;g;dark chocolate;Bakery
8978cc0ca9193bb8d7f3;250;g;biscuits;Bakery
992b01ee1b5c69845eec;250;g;biscuits;Bakery
ef43008554b87ff9d590;140;g;biscuits;Bakery
25b3e1b39fa86f866446;1;;brioche;Bakery
6944a360615d3b68389a;1;;brioche;Bakery
4dc3a8de1fe1e7c78276;75;g;caster sugar;Bakery
f17672605ba58e226ff9;140;g;caster sugar;Bakery
cb369a7d5b20b4bfb427;175;g;caster sugar;Bakery
5abd684ef293eb899341;150;g;caster sugar;Bakery
fbd0c5b8660e5b1815d9;50;g;caster sugar;Bakery
9f28504dfe4ea469ead6;100;g;caster sugar;Bakery
78618932bf1e6eb7049d;80;g;caster sugar;Bakery
286a7c7866ffa2650643;100;g;caster sugar;Bakery
359dd9119bc954ae526d;275;g;caster sugar;Bakery
12f84704141e5efcd98d;140;g;caster sugar;Bakery
cacfe28b4d2c6964be85;200;g;caster sugar;Bakery
ef43008554b87ff9d590;250;g;caster sugar;Bakery
8978cc0ca9193bb8d7f3;50;g;caster sugar;Bakery
ef43008554b87ff9d590;20;g;caster sugar;Bakery
92699b7582199135ad27;20;g;caster sugar;Bakery
0f6117099c5fb8356d62;1;tbsp;caster sugar;Bakery
86073e779a756565efb9;1;tsp;caster sugar;Bakery
7b4a75c7a63924bacb2a;1;tsp;caster sugar;Bakery
b3802daafb8b2121e09b;115;g;caster sugar;Bakery
b3802daafb8b2121e09b;85;g;caster sugar;Bakery
b1997b662d682300b081;60;g;caster sugar;Bakery
db57f1743fa154618cd2;100;g;caster sugar;Bakery
cb369a7d5b20b4bfb427;125;g;chocolate;Bakery
359dd9119bc954ae526d;50;g;chocolate;Bakery
359dd9119bc954ae526d;50;g;chocolate;Bakery
bcae96dc1c0b90eda57d;25;g;dark chocolate;Bakery
359dd9119bc954ae526d;40;g;cocoa powder;Bakery
5abd684ef293eb899341;40;g;cocoa powder;Bakery
cb369a7d5b20b4bfb427;2;tbsp;cocoa powder;Bakery
5abd684ef293eb899341;2;tbsp;cocoa powder;Bakery
359dd9119bc954ae526d;185;g;dark chocolate;Bakery
b3802daafb8b2121e09b;50;g;dark chocolate;Bakery
0dda049dc7ae42af6c05;100;g;light brown sugar;Bakery
78618932bf1e6eb7049d;80;g;demerara sugar;Bakery
755985659b42a5effc69;85;g;demerara sugar;Bakery
81a843b4d29b4223c641;50;g;breadcrumb;Bakery
76b36865a2a1f289937f;1;;oat bread;Bakery
babe1d8b0cb43f576a20;50;g;breadcrumb;Bakery
3ead8112acd172c59779;50;g;breadcrumb;Bakery
9f0ca93d6dd6978f0c21;1;bunch;breadcrumb;Bakery
a5ad2b18ce6a8cf1137f;140;g;caster sugar;Bakery
1494bd4f9127936bd043;250;g;caster sugar;Bakery
e4c4c15c333092dca744;250;g;caster sugar;Bakery
e4c4c15c333092dca744;100;g;caster sugar;Bakery
90ac7efc29a9119aeb46;100;g;caster sugar;Bakery
433d924a6eb8706b5ba1;100;g;caster sugar;Bakery
837b068723364c202aff;100;g;caster sugar;Bakery
0dda049dc7ae42af6c05;175;g;caster sugar;Bakery
cddb55c884fb48f86bf5;85;g;caster sugar;Bakery
90ac7efc29a9119aeb46;100;g;caster sugar;Bakery
0dda049dc7ae42af6c05;140;g;golden syrup sugar;Bakery
cb369a7d5b20b4bfb427;1;tbsp;golden syrup sugar;Bakery
5abd684ef293eb899341;2;tbsp;golden syrup sugar;Bakery
66c0531c06a9f27a851a;1;tbsp;honey;Bakery
edb04312c7426eb32fe9;1;tbsp;honey;Bakery
0dda049dc7ae42af6c05;200;g;icing sugar;Bakery
1494bd4f9127936bd043;75;g;icing sugar;Bakery
755985659b42a5effc69;175;g;light brown sugar;Bakery
cb369a7d5b20b4bfb427;75;g;light brown sugar;Bakery
9f28504dfe4ea469ead6;100;g;light brown sugar;Bakery
78618932bf1e6eb7049d;50;g;light brown sugar;Bakery
397e7921ba58f77a9ce1;85;g;light brown sugar;Bakery
806207e9e1d8ac85f24e;1;;bread;Bakery
bcae96dc1c0b90eda57d;175;g;sponge finger;Bakery
9f28504dfe4ea469ead6;375;g;puff pastry;Bakery
b3802daafb8b2121e09b;1;;chocolate;Bakery
612d3fbad49ea9ccc3c6;3;;bread;Bakery
22d176142cb988497e7b;1;;bread;Bakery
90ac7efc29a9119aeb46;24;tbsp;biscuits;Bakery
a400e02b1f847036b53d;400;g;bread;Bakery
db57f1743fa154618cd2;500;g;bread;Bakery
286a7c7866ffa2650643;140;g;sugar;Bakery
f17672605ba58e226ff9;50;g;sugar;Bakery
5abd684ef293eb899341;225;g;sugar;Bakery
992b01ee1b5c69845eec;100;g;sugar;Bakery
992b01ee1b5c69845eec;25;g;sugar;Bakery
12f84704141e5efcd98d;10;g;sugar;Bakery
4dc3a8de1fe1e7c78276;10;g;sugar;Bakery
ef43008554b87ff9d590;10;g;sugar;Bakery
6a273fc5bda281a1050d;1;tbsp;sugar;Bakery
db57f1743fa154618cd2;1;tbsp;caster sugar;Bakery
cddb55c884fb48f86bf5;4;tbsp;chocolate;Bakery
bcae96dc1c0b90eda57d;5;tbsp;caster sugar;Bakery
db57f1743fa154618cd2;1;tbsp;icing sugar;Bakery
6513ebd3b361cf93593b;2;tbsp;icing sugar;Bakery
e4c4c15c333092dca744;2;tbsp;baking powder;Bakery
90ac7efc29a9119aeb46;1;tbsp;cocoa powder;Bakery
76b36865a2a1f289937f;1;tbsp;sugar;Bakery
09b214104c84283f8cb2;1;tbsp;sugar;Bakery
18c4a29debd67599b36a;400;ml;coconut milk;Beverage
90ac7efc29a9119aeb46;200;ml;coffee;Beverage
bcae96dc1c0b90eda57d;300;ml;coffee;Beverage
b3802daafb8b2121e09b;5;tbsp;coffee;Beverage
09b214104c84283f8cb2;1;tbsp;lemon juice;Beverage
cddb55c884fb48f86bf5;2;tbsp;coffee;Beverage
a97e4fe8fd9ce7d8fd75;1;tbsp;red wine;Beverage Alcoholic
abb9c496dc6a551a5534;200;ml;red wine;Beverage Alcoholic
bcae96dc1c0b90eda57d;75;ml;marsala wine;Beverage Alcoholic
90ac7efc29a9119aeb46;150;ml;marsala wine;Beverage Alcoholic
837b068723364c202aff;100;ml;marsala wine;Beverage Alcoholic
fbd0c5b8660e5b1815d9;250;ml;red wine;Beverage Alcoholic
02f1939873c5ed70986c;200;ml;red wine;Beverage Alcoholic
19d959d6874b812a9094;125;ml;red wine;Beverage Alcoholic
194dd9e1bf7694493015;225;ml;red wine;Beverage Alcoholic
a2f6240a66ab428e6d61;500;ml;red wine;Beverage Alcoholic
cacfe28b4d2c6964be85;1;tbsp;Somerset Pomona;Beverage Alcoholic
cacfe28b4d2c6964be85;2;tbsp;Somerset Pomona;Beverage Alcoholic
b3802daafb8b2121e09b;3;tbsp;brandy;Beverage Alcoholic
db57f1743fa154618cd2;3;tbsp;rum;Beverage Alcoholic
b3802daafb8b2121e09b;6;tbsp;marsala wine;Beverage Alcoholic
