uuid;quantity;unit;name;category
f17672605ba58e226ff9;1;tbsp;baking powder;Bakery
cb369a7d5b20b4bfb427;1;tbsp;baking powder;Bakery
755985659b42a5effc69;1;tbsp;baking powder;Bakery
5abd684ef293eb899341;1;tbsp;baking powder;Bakery
8978cc0ca9193bb8d7f3;250;g;biscuits;Bakery
992b01ee1b5c69845eec;250;g;biscuits;Bakery
ef43008554b87ff9d590;140;g;biscuits;Bakery
25b3e1b39fa86f866446;1;;brioche;Bakery
4dc3a8de1fe1e7c78276;75;g;caster sugar;Bakery
f17672605ba58e226ff9;140;g;caster sugar;Bakery
cb369a7d5b20b4bfb427;175;g;caster sugar;Bakery
5abd684ef293eb899341;150;g;caster sugar;Bakery
fbd0c5b8660e5b1815d9;50;g;caster sugar;Bakery
9f28504dfe4ea469ead6;100;g;caster sugar;Bakery
78618932bf1e6eb7049d;80;g;caster sugar;Bakery
286a7c7866ffa2650643;100;g;caster sugar;Bakery
359dd9119bc954ae526d;275;g;caster sugar;Bakery
12f84704141e5efcd98d;140;g;caster sugar;Bakery
cacfe28b4d2c6964be85;200;g;caster sugar;Bakery
ef43008554b87ff9d590;250;g;caster sugar;Bakery
8978cc0ca9193bb8d7f3;50;g;caster sugar;Bakery
ef43008554b87ff9d590;20;g;caster sugar;Bakery
92699b7582199135ad27;20;g;caster sugar;Bakery
cb369a7d5b20b4bfb427;125;g;chocolate;Bakery
359dd9119bc954ae526d;50;g;chocolate;Bakery
359dd9119bc954ae526d;50;g;chocolate;Bakery
359dd9119bc954ae526d;40;g;cocoa powder;Bakery
5abd684ef293eb899341;40;g;cocoa powder;Bakery
cb369a7d5b20b4bfb427;2;tbsp;cocoa powder;Bakery
5abd684ef293eb899341;2;tbsp;cocoa powder;Bakery
359dd9119bc954ae526d;185;g;dark chocolate;Bakery
78618932bf1e6eb7049d;80;g;demerara sugar;Bakery
755985659b42a5effc69;85;g;demerara sugar;Bakery
