uuid;global_rating;number_of_ratings;name;steps;meal_type;origin;prep_time;servings;description;difficulty;photo_url
24d25b308700d23f709b;5;32;Butternut squash soup with chilli & crème fraîche;Heat oven to 200C/180C fan/gas 6.Cut 1 peeled and deseeded butternut squash into large cubes, about 4cm/1½in across, then toss in a large roasting tin with 1 tbsp of the olive oil.Roast for 30 mins, turning once during cooking, until golden and soft.While the butternut squash cooks, melt 1 tbsp butter with the remaining 1 tbsp olive oil in a large saucepan, then add 2 diced onions, 1 thinly sliced garlic clove and ¾ of the 2 deseeded and finely chopped red chillies. Cover and cook on a very low heat for 15-20 mins until the onions are completely soft.Tip the butternut squash into the pan, add 850ml hot vegetable stock and 4 tbsp crème fraîche, then whizz with a stick blender until smooth. For a really silky soup, put the soup into a liquidiser and blitz it in batches.Return to the pan, gently reheat, then season to taste.Serve the soup in bowls with swirls of crème fraîche and a scattering of the remaining chopped chilli.;starter;English;65;4;Come in from the cold to a warming bowlful of autumn;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2011/01/recipe-image-legacy-id-513663_11.jpg?itok=ruJV3TFo
8b1fcfc80c7231df0d48;5;278;Moroccan chickpea soup;Heat the oil in a large saucepan, then fry the onion and celery gently for 10 mins until softened, stirring frequently. Tip in the cumin and fry for another min.Turn up the heat, then add the stock, tomatoes and chickpeas, plus a good grind of black pepper. Simmer for 8 mins. Throw in broad beans and lemon juice, cook for a further 2 mins. Season to taste, then top with a sprinkling of lemon zest and chopped herbs. Serve with flatbread.;starter;Middle East;25;4;Try something different for vegetarians with Moroccan chickpea soup;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--192471_11.jpg?itok=6vDeznHv
74195811e951e9fbe3f8;5;276;Broccoli & stilton soup;Heat 2 tbsp rapeseed oil in a large saucepan and then add 1 finely chopped onion. Cook on a medium heat until soft. Add a splash of water if the onion starts to catch.Add 1 sliced celery stick, 1 sliced leek, 1 diced medium potato and a knob of butter. Stir until melted, then cover with a lid. Allow to sweat for 5 minutes then remove the lid.Pour in 1l of chicken or vegetable stock and add any chunky bits of stalk from 1 head of broccoli. Cook for 10-15 minutes until all the vegetables are soft.Add the rest of the roughly chopped broccoli and cook for a further 5 minutes.Carefully transfer to a blender and blitz until smooth.Stir in 140g crumbled stilton, allowing a few lumps to remain. Season with black pepper and serve.;starter;English;45;4;A smooth blended vegetable soup with blue cheese that's as good for a comforting meal as it is for a dinner party starter...;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--889457_11.jpg?itok=sAlp2X9B
f72acec0c134474aa129;5;215;Mushroom risotto;Put 50g dried porcini mushrooms into a large bowl and pour over 1 litre boiling water. Soak for 20 mins, then drain into a bowl, discarding the last few tbsp of liquid left in the bowl.Crumble 1 vegetable stock cube into the mushroom liquid, then squeeze the mushrooms gently to remove any liquid.Heat 2 tbsp olive oil in a shallow saucepan or deep frying pan over a medium flame. Add 1 finely chopped onion and 2 finely chopped garlic cloves, then fry for about 5 mins until soft.Stir in 250g chopped chestnut mushrooms and the dried mushrooms, season with salt and pepper and continue to cook for 8 mins until the fresh mushrooms have softened.Tip 300g risotto rice into the pan and cook for 1 min. Pour over a 175ml glass of white wine and let it bubble to nothing so the alcohol evaporates.Keep the pan over a medium heat and pour in a quarter of the mushroom stock. Simmer the rice, stirring often, until the rice has absorbed all the liquid.Add about the same amount of stock again and continue to simmer and stir - it should start to become creamy, plump and tender. By the time the final quarter of stock is added, the rice should be almost cooked.Continue stirring until the rice is cooked. If the rice is still undercooked, add a splash of water. Take the pan off the heat, add 25g butter and scatter over 25g grated parmesan or Grana Padano cheese and half a handful of chopped parsley leaves.Cover and leave for a few mins so that the rice can take up any excess liquid as it cools a bit. Give the risotto a final stir, spoon into bowls and scatter with the remaining 25g grated cheese and the remaining chopped parsley leaves.;starter;Italian;30;4;Barney guides you through a step-by-step guide to making a mushroom risotto - you might even find it relaxing!;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--52074_11.jpg?itok=6UH5v5XC
2346df08e1939e37ed64;5;211;Spicy roasted parsnip soup;Heat oven to 220C/fan 200C/gas 7.In a bowl, mix together 2 tbsp olive oil and 1 tsp coriander seeds, 1 tsp cumin seeds, ½ tsp ground turmeric and ½ tsp mustard seeds.Add 1 large onion, cut into 8 chunks, 2 garlic cloves, 675g parsnips, diced, and 2 quartered plum tomatoes and mix well.Spread over a heavy baking sheet, then roast for 30 mins until tender. Spoon into a food processor or liquidiser with 600ml vegetable stock and process until smooth.Pour into a pan with the remaining  600ml vegetable stock, season, then heat until barely simmering.Remove from the heat and stir in 1 tbsp lemon juice. Garnish with cumin seeds.;starter;British;45;4;Aromatic flavours transform the ordinary parsnip into a delicious warming soup;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--491507_11.jpg?itok=urDY9f8Q
781874bcf5aac010e8ff;4;160;Pumpkin soup;Heat 2 tbsp olive oil in a large saucepan, then gently cook 2 finely chopped onions for 5 mins, until soft but not coloured.Add 1kg pumpkin or squash, cut into chunks, to the pan, then carry on cooking for 8-10 mins, stirring occasionally until it starts to soften and turn golden.Pour 700ml vegetable or chicken stock into the pan and season with salt and pepper. Bring to the boil, then simmer for 10 mins until the squash is very soft.Pour 150ml double cream into the pan, bring back to the boil, then purée with a hand blender. For an extra-velvety consistency you can pour the soup through a fine sieve. The soup can now be frozen for up to 2 months.To make the croutons: cut 4 slices wholemeal seeded bread into small squares.Heat 2 tbsp olive oil in a frying pan, then fry the bread until it starts to become crisp.Add a handful of pumpkin seeds to the pan, then cook for a few mins more until they are toasted. These can be made a day ahead and stored in an airtight container.Reheat the soup if needed, taste for seasoning, then serve scattered with croutons and seeds and drizzled with more olive oil, if you want.;starter;French;45;6;Whip up this easy pumpkin soup as a starter for a dinner party or a light supper when you need a bit of comfort – it has a lovely silky texture...;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--879453_11.jpg?itok=unHBDg-O
66c0531c06a9f27a851a;5;130;Smoked salmon with prawns, horseradish cream & lime vinaigrette;Mix the crème fraîche with the horseradish and a little salt and pepper. For the dressing, whisk the lime juice and zest with the honey, ginger and seasoning, then whisk in the oil. Lay the smoked salmon and prawns on 2 plates, then top with a dollop of the horseradish cream. Toss the salad in most of the dressing and pile on top. Drizzle the remaining dressing around the plate and serve.;starter;British;20;2;This stunning starter can be assembled ahead, then topped with dressed leaves just before serving;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2013/05/recipe-image-legacy-id--17355_11.jpg?itok=_r1Dplsi
99b55a0d8e297048cfc0;3;1;Smoked fish & potato latkes sharing platter;Soak the potatoes in cold water for 1 hr, drain, then cut into quarters. Cook in boiling salted water for 5 mins, drain and set aside until cool enough to handle. Coarsely grate and transfer to a bowl.Stir in the onion, garlic, flour, egg and plenty of seasoning. Divide the mixture into 24 and shape into small patties (known as latkes). Heat a little of the butter and oil in a large non-stick frying pan and fry the latkes over a medium heat for 3-4 mins each side until golden brown (you will need to do this in batches, add more butter and oil each time). Drain on kitchen paper and keep warm.Mix the crème fraîche, herbs and horseradish sauce together and season. Spoon the mixture into a serving bowl. Slice the smoked salmon into strips and break the smoked mackerel into bite-sized pieces. Arrange on a serving platter with the potato latkes, herby crème fraîche and some lemon wedges.;starter;English;45;8;Pan-fry potato patties until golden, then serve with smoked salmon, mackerel and a creamy sauce as part of a sharing seafood platter;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/smoked-fish-potato-latkes.jpg?itok=R9GJWswp
18e04b3fff1325b4d244;5;142;Chunky minestrone soup;In a food processor, whizz the carrots, onion and celery into small pieces. Heat the oil in a pan, add the processed vegetables, garlic and potatoes, then cook over a high heat for 5 mins until softened.Stir in the tomato purée, stock and tomatoes. Bring to the boil, then turn down the heat and simmer, covered, for 10 mins.Tip in the beans and pasta, then cook for a further 10 mins, adding the cabbage for the final 2 mins. Season to taste and serve with crusty bread.;starter;Italian;45;4;This veggie soup makes a warming bowl of goodness for lunch or a starter;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--1259719_8.jpg?itok=dcjx0vQt
4dc3a8de1fe1e7c78276;4;6;Prawn cakes with cucumber peanut relish;To make the relish, put the sugar and vinegar in a small saucepan with a pinch of salt. Bring to the boil and simmer for 5 mins until syrupy. Remove from the heat and cool completely. When cool, add the chilli flakes, cucumber, peanuts and shallot, and stir together. Set aside.Put the ginger, coriander, shallots, chilli, lime zest and half the prawns in a food processor and blitz until fine. Add the remaining prawns and the fish sauce and pulse again, this time keeping the mixture chunky. Season well with black pepper, then form into 18 flat cakes.Heat the grill to high. Brush both sides of the cakes with a tiny bit of vegetable oil and place on a baking sheet. Cook for 2 mins on one side, turn over and brush with the sugar water. Cook for another 2-3 mins or until opaque and slightly browned at the edges. Serve the cakes with the lettuce leaves, herbs and the cucumber relish.;starter;English;35;6;These South-east Asian grilled fishcakes make for a lovely, light dinner party starter, served with a chilli, cucumber and rice vinegar relish;Easy;www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/prawn-cakes-with-cucumber-peanut-relish.jpg?itok=afVONKO1
